Block,State,address,latitude,longitude,valid
110010109001001,District of Columbia,"145, Ivanhoe Street Southwest, Bellevue, Washington, District of Columbia, 20032, United States of America",38.821546999999995,-77.00967199999994,1.0
110010073011078,District of Columbia,"1582, Eglin Way Southwest, Washington, District of Columbia, 20332, United States of America",38.83154699999999,-77.01967199999994,1.0
110010098071011,District of Columbia,"4000, Martin Luther King Jr Avenue Southwest, Washington, District of Columbia, 20032, United States of America",38.83154699999999,-77.00967199999994,1.0
110010098021001,District of Columbia,"422, Condon Terrace Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America",38.83154699999999,-76.99967199999993,1.0
110010097001016,District of Columbia,"893, Bellevue Street Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States of America",38.83154699999999,-76.98967199999993,1.0
110010073011014,District of Columbia,"Child Development Center I, 4456, Tinker Street Southwest, Washington, District of Columbia, 20332, United States of America",38.84154699999999,-77.01967199999994,1.0
110010073011045,District of Columbia,"32, Dinger Street Southwest, Capitol Hill, Washington, District of Columbia, 20032, United States of America",38.84154699999999,-77.00967199999994,1.0
110010098042003,District of Columbia,"3307, 5th Street Southeast, Congress Heights, Capitol Hill, Washington, District of Columbia, 20032, United States of America",38.84154699999999,-76.99967199999993,1.0
110010073042005,District of Columbia,"1207, Congress Street Southeast, Congress Heights, Capitol Hill, Washington, District of Columbia, 20032, United States of America",38.84154699999999,-76.98967199999993,1.0
110010073011022,District of Columbia,"415, DIA Acces Southwest Road, Capitol Hill, Washington, District of Columbia, 20032, United States of America",38.85154699999999,-77.00967199999994,1.0
110010104002027,District of Columbia,"2703, Robinson Place Southeast, Capitol Hill, Washington, District of Columbia, 20020, United States of America",38.85154699999999,-76.98967199999993,1.0
110010074041000,District of Columbia,"3040, Stanton Road Southeast, Douglass, Capitol Hill, Washington, District of Columbia, 20020, United States of America",38.85154699999999,-76.97967199999992,1.0
110010074081010,District of Columbia,"2625, Jasper Street Southeast, Knox Hill/Buena Vista, Capitol Hill, Washington, District of Columbia, 20020, United States of America",38.85154699999999,-76.96967199999992,1.0
110010074011032,District of Columbia,"2600, Barry Road Southeast, Capitol Hill, Washington, District of Columbia, 20020, United States of America",38.86154699999999,-76.99967199999993,1.0
110010074072001,District of Columbia,"1345, Morris Road Southeast, Capitol Hill, Washington, District of Columbia, 20020, United States of America",38.86154699999999,-76.98967199999993,1.0
110010075041004,District of Columbia,"1750, Galen Street Southeast, Anacostia, Washington, District of Columbia, 20020, United States of America",38.86154699999999,-76.97967199999992,1.0
110010076052003,District of Columbia,"2645, Naylor Road Southeast, Capitol Hill, Washington, District of Columbia, 20020, United States of America",38.86154699999999,-76.96967199999992,1.0
110010076032000,District of Columbia,"3319, Alabama Avenue Southeast, Hillcrest, Capitol Hill, Washington, District of Columbia, 20020, United States of America",38.86154699999999,-76.95967199999991,1.0
110010076031000,District of Columbia,"3810, Southern Avenue Southeast, Washington, District of Columbia, 20020, United States of America",38.86154699999999,-76.94967199999991,1.0
110010064002010,District of Columbia,"U-Haul Moving & Storage, 1501, South Capitol Street Southeast, Buzzard Point, Capitol Hill, Washington, District of Columbia, 20003, United States of America",38.871546999999985,-77.00967199999994,1.0
110010076014000,District of Columbia,"1700, Q Street Southeast, Fairlawn, Capitol Hill, Washington, District of Columbia, 20020, United States of America",38.871546999999985,-76.97967199999992,1.0
110010076041006,District of Columbia,"2532, Park Place Southeast, Randle Highlands, Capitol Hill, Washington, District of Columbia, 20020, United States of America",38.871546999999985,-76.96967199999992,1.0
110010099012020,District of Columbia,"3219, O Street Southeast, Dupont Park, Capitol Hill, Washington, District of Columbia, 20020, United States of America",38.871546999999985,-76.95967199999991,1.0
110010099012013,District of Columbia,"3836, Nash Street Southeast, Washington, District of Columbia, 20020, United States of America",38.871546999999985,-76.94967199999991,1.0
110010099021008,District of Columbia,"4157, Alabama Avenue Southeast, Fort Davis Park, Washington, District of Columbia, 20019, United States of America",38.871546999999985,-76.9396719999999,1.0
110010102001019,District of Columbia,"519, G Street Southwest, Southwest/Waterfront, Capitol Hill, Washington, District of Columbia, 20024, United States of America",38.88154699999998,-77.01967199999994,1.0
110010070001004,District of Columbia,"545, 5th Street Southeast, Capitol Hill, Washington, District of Columbia, 20003, United States of America",38.88154699999998,-76.99967199999993,1.0
110010071002005,District of Columbia,"1216, G Street Southeast, Capitol Hill, Washington, District of Columbia, 20003, United States of America",38.88154699999998,-76.98967199999993,1.0
110010077091000,District of Columbia,"515, 33rd Street Southeast, Greenway, Capitol Hill, Washington, District of Columbia, 20019, United States of America",38.88154699999998,-76.95967199999991,1.0
110010099071001,District of Columbia,"4391, F Street Southeast, Benning Ridge, Washington, District of Columbia, 20019, United States of America",38.88154699999998,-76.9396719999999,1.0
110010099042009,District of Columbia,"5000, Kimi Gray Court Southeast, Marshall Heights, Washington, District of Columbia, 20019, United States of America",38.88154699999998,-76.9296719999999,1.0
110010062021077,District of Columbia,"23rd Street Northwest, Monumental Core, Foggy Bottom, Washington, District of Columbia, 20037, United States of America",38.89154699999998,-77.04967199999996,1.0
110010082002012,District of Columbia,"118, 5th Street Northeast, Stanton Park, Capitol Hill, Washington, District of Columbia, 20002, United States of America",38.89154699999998,-76.99967199999993,1.0
110010080022012,District of Columbia,"141, 12th Street Northeast, Kingman Park, Capitol Hill, Washington, District of Columbia, 20002, United States of America",38.89154699999998,-76.98967199999993,1.0
110010080021003,District of Columbia,"1716, Constitution Avenue Northeast, Kingman Park, Capitol Hill, Washington, District of Columbia, 20002, United States of America",38.89154699999998,-76.97967199999992,1.0
